year,locality_id,pland_00_water,pland_01_evergreen_needleleaf,pland_02_evergreen_broadleaf,pland_03_deciduous_needleleaf,pland_04_deciduous_broadleaf,pland_05_mixed_forest,pland_06_closed_shrubland,pland_08_woody_savanna,pland_09_savanna,pland_10_grassland,pland_11_wetland,pland_12_cropland,pland_13_urban,pland_14_mosiac,pland_15_barren,id,elevation_median,elevation_sd
2017,L5975328,0.5333333333333333,0.06666666666666667,0.1,0,0,0,0,0.06666666666666667,0,0,0.23333333333333334,0,0,0,0,9385,3.108967973073845,4.431236619648897
2017,L5933748,0.45161290322580644,0.03225806451612903,0.06451612903225806,0,0,0,0,0.12903225806451613,0.03225806451612903,0,0.2903225806451613,0,0,0,0,9507,5.615190045922758,5.689117972723351
2017,L763763,0.21428571428571427,0,0,0,0,0,0,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.03571428571428571,0,0.32142857142857145,0,0,9511,5.29311021685416,4.297232453742862
2017,L2982306,0.06666666666666667,0,0,0,0,0.03333333333333333,0,0.06666666666666667,0.06666666666666667,0,0.4666666666666667,0,0.3,0,0,9517,4.931834192556502,3.6765133501090577
2017,L5945002,0.16666666666666666,0,0,0,0,0,0,0.3333333333333333,0.03333333333333333,0,0.16666666666666666,0,0.3,0,0,9518,5.704163474359977,4.168942833091378
2017,L1645031,0.26666666666666666,0,0,0,0,0,0,0.23333333333333334,0.2,0,0.16666666666666666,0,0.13333333333333333,0,0,9521,6.456785050428175,5.4836430010405985
2017,L662355,0.7,0,0,0,0,0,0,0.03333333333333333,0.03333333333333333,0,0.1,0,0.13333333333333333,0,0,9522,3.867973855097904,5.0901147277397065
2017,L469291,0.25806451612903225,0,0,0,0,0,0,0,0.03225806451612903,0,0.3870967741935484,0,0.2903225806451613,0,0.03225806451612903,9167,-4.169330133073121,3.77748080036674
2017,L871952,0.26666666666666666,0,0,0,0,0,0,0.13333333333333333,0.1,0.03333333333333333,0.13333333333333333,0,0.3333333333333333,0,0,9289,8.490270865456726,4.610997696045959
2017,L449788,0.5161290322580645,0,0,0,0,0,0,0.03225806451612903,0,0,0.1935483870967742,0,0.25806451612903225,0,0,9405,1.018479383442088,1.2485307770820797
2017,L132607,0.1935483870967742,0,0,0,0,0,0,0.5806451612903226,0.22580645161290322,0,0,0,0,0,0,9407,41.39987647937432,8.297386516366558
2017,L618578,0.2903225806451613,0.03225806451612903,0,0,0,0,0,0.25806451612903225,0.3225806451612903,0,0,0,0.0967741935483871,0,0,9169,5.221670652693072,5.127330728838048
2017,L1241656,0.125,0,0,0,0,0,0,0,0,0,0,0,0.875,0,0,9351,5.2459304531979125,2.4829006653562846
2017,L446576,0.36666666666666664,0.16666666666666666,0.1,0,0,0.23333333333333334,0,0,0,0,0.13333333333333333,0,0,0,0,9538,3.7437973201416064,3.733108810561682
2017,L3260487,0.3,0,0.2,0,0,0.16666666666666666,0,0.03333333333333333,0,0,0.3,0,0,0,0,9547,4.640283055763963,4.2181720509913525
2017,L718452,0.36666666666666664,0,0,0,0,0,0,0.4,0.06666666666666667,0,0.16666666666666666,0,0,0,0,9165,6.41840495142957,7.639454895055992
