locality_id,year,pland_08,pland_09,pland_13,pland_02,pland_04,pland_00,pland_11,pland_05,pland_10,pland_01,pland_12,pland_14,pland_15,pland_03,pland_06
L1030897,2015,0.19047619047619047,0,0,0,0.42857142857142855,0.23809523809523808,0.14285714285714285,0,0,0,0,0,0,0,0
L1032066,2017,0,0.05263157894736842,0.9473684210526315,0,0,0,0,0,0,0,0,0,0,0,0
L1032547,2017,0,0.05263157894736842,0.05263157894736842,0,0,0.7368421052631579,0,0,0,0,0,0,0.15789473684210525,0,0
L1032547,2018,0,0.05263157894736842,0.05263157894736842,0,0,0.7368421052631579,0,0,0,0,0,0,0.15789473684210525,0,0
L1032614,2016,0.7368421052631579,0,0,0,0.15789473684210525,0,0,0,0.05263157894736842,0,0.05263157894736842,0,0,0,0
L1032614,2019,0.631578947368421,0,0,0,0.3157894736842105,0,0,0,0,0,0.05263157894736842,0,0,0,0
L1032739,2011,0,0.21052631578947367,0.7894736842105263,0,0,0,0,0,0,0,0,0,0,0,0
L1032739,2012,0,0.21052631578947367,0.7894736842105263,0,0,0,0,0,0,0,0,0,0,0,0
L1032739,2013,0.05263157894736842,0.15789473684210525,0.7894736842105263,0,0,0,0,0,0,0,0,0,0,0,0
L1032739,2014,0.05263157894736842,0.15789473684210525,0.7894736842105263,0,0,0,0,0,0,0,0,0,0,0,0
L1032739,2015,0.05263157894736842,0.15789473684210525,0.7894736842105263,0,0,0,0,0,0,0,0,0,0,0,0
L1032739,2016,0.05263157894736842,0.15789473684210525,0.7894736842105263,0,0,0,0,0,0,0,0,0,0,0,0
L1032739,2017,0,0.21052631578947367,0.7894736842105263,0,0,0,0,0,0,0,0,0,0,0,0
L1032739,2018,0,0.21052631578947367,0.7894736842105263,0,0,0,0,0,0,0,0,0,0,0,0
L1032863,2018,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L1032877,2017,0,0,0,0,0.9047619047619048,0,0,0,0.09523809523809523,0,0,0,0,0,0
